[this.name:鲜鱼坊梅川店],[this.address：梅川路1275号2楼],[this.telephone：021-51621577  ],[this.averageCost：63],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：92%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:51 CST 2013],[this.tags：[大闸蟹, 蟹粉鱼结, 猕猴桃虾球色拉]],[this.teses：null]
[this.name:和记小菜莘庄店],[this.address：闵行区七莘路338号(近庙泾路)],[this.telephone：021-54957979  ],[this.averageCost：95],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：93%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:50 CST 2013],[this.tags：[水晶虾仁, 蟹粉豆腐, 水晶鸡, 乳鸽]],[this.teses：null]
[this.name:阿婆家常菜],[this.address：地址：嘉定区南翔镇南华路260号],[this.telephone：021-69126277],[this.averageCost：],[this.openTime：10:00],[this.closeTime：24:00],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:47 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:圆苑酒家淮海店],[this.address：徐汇区襄阳北路108号嘉华中心会所1-2层(近新乐路)],[this.telephone：021-51083377  ],[this.averageCost：120],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:56 CST 2013],[this.tags：[红烧肉, 虾饺, 泰式雪梅酿, 蟹粉小笼]],[this.teses：null]
[this.name:和记小菜古美店],[this.address：闵行区顾戴路1236号(近龙茗路)],[this.telephone：021-54167775  ],[this.averageCost：55],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:54 CST 2013],[this.tags：[水晶鸡, 特色面筋, 清炒河虾仁, 口水鸡]],[this.teses：null]
[this.name:保罗酒家],[this.address：静安区富民路271号(长乐路与富民路交叉口)],[this.telephone：021-54037239  ],[this.averageCost：69],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：97%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:50 CST 2013],[this.tags：[瑞士牛排, 保罗咸鸡, 黑胡椒牛肉, 火锅]],[this.teses：null]
[this.name:鹭鹭酒家恒隆店],[this.address：静安区南京西路1266号恒隆广场5层(近陕西北路)],[this.telephone：021-62881179  ],[this.averageCost：120],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：97%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:51 CST 2013],[this.tags：[糖醋小排, 水晶虾仁, 蟹粉豆腐, 毛蟹年糕]],[this.teses：null]
[this.name:一品全大酒店万里店],[this.address：普陀区新村路1501号(近真华路)],[this.telephone：021-56357757  ],[this.averageCost：90],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:56 CST 2013],[this.tags：[橙味蟹粉, 油爆虾, 本地河虾仁, 生煎]],[this.teses：null]
[this.name:上海1号私藏菜静安寺店],[this.address：静安区南京西路1856号乐百新都3层(近乌鲁木齐北路)],[this.telephone：021-51501177  ],[this.averageCost：132],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：98%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:47 CST 2013],[this.tags：[酱排骨, 红烧肉, 油爆虾拼虾仁, 油爆虾仁]],[this.teses：null]
[this.name:鹭鹭酒家五角场店],[this.address：杨浦区淞沪路98号赛博数码广场5层(近政通路)],[this.telephone：021-55223229  ],[this.averageCost：82],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：91%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:51 CST 2013],[this.tags：[糖醋小排, 蟹粉豆腐, 荷兰豆拌北极贝]],[this.teses：null]
[this.name:圆苑酒家兴国路店],[this.address：徐汇区兴国路201号],[this.telephone：021-64339123  ],[this.averageCost：138],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:59 CST 2013],[this.tags：[土鸡汤, 上汤芦笋, 醉虾, 红烧蹄膀, 煮干丝]],[this.teses：null]
[this.name:和记小菜金玉兰店],[this.address：卢湾区打浦路1号金玉兰广场3-4层(徐家汇路口)],[this.telephone：021-53960578  ],[this.averageCost：85],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：94%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:59 CST 2013],[this.tags：[生煎, 水晶虾仁, 鸭血豆腐羹, 干煎臭豆腐]],[this.teses：null]
[this.name:老丰阁品珍轩仙乐斯店],[this.address：静安区南京西路388号(仙乐斯广场6-7楼)],[this.telephone：021-63751266  ],[this.averageCost：159],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:07 CST 2013],[this.tags：[水果盘, 黄油焗蟹饭, 好味牛仔骨, 鲍鱼拼盒]],[this.teses：null]
[this.name:和记小菜长宁店],[this.address：上海市长宁区娄山关路999弄春天花园会所(近长宁路)],[this.telephone：021-52733327  ],[this.averageCost：85],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:58 CST 2013],[this.tags：[清炒河虾仁, 菌菇豆腐煲, 水晶鸡, 麻酱蟹皮]],[this.teses：null]
[this.name:上海1号私藏菜黄浦店],[this.address：黄浦区淮海东路99号6楼],[this.telephone：021-33317177  ],[this.averageCost：111],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：95%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:04 CST 2013],[this.tags：[火山石烧裙翅, 澳洲烤排, 生煎, 红烧肉]],[this.teses：null]
[this.name:上海1号私藏菜卢湾店],[this.address：卢湾区瑞金南路1号海兴广场3楼],[this.telephone：021-64189777  ],[this.averageCost：108],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:59 CST 2013],[this.tags：[小黄鱼, 鱼翅, 芒果白雪血糯米, 蟹粉捞面]],[this.teses：null]
[this.name:老丰阁品珍轩协通店],[this.address：北京东路398号3F],[this.telephone：021-63516177  ],[this.averageCost：89],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:02 CST 2013],[this.tags：[水煮鸡血, 锦绣虾球, 铁板茄子, 白汤凤爪]],[this.teses：null]
[this.name:圆苑酒家梅龙镇店],[this.address：静安区南京西路1038号梅龙镇广场4层(近江宁路)],[this.telephone：021-62726972  ],[this.averageCost：106],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：90%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:59 CST 2013],[this.tags：[红烧肉, 红烧肉加蛋, 蟹粉豆腐, 糯米红枣]],[this.teses：null]
[this.name:老丰阁品珍轩兰生大厦店],[this.address：卢湾区淮海中路8号兰生大厦38-39层],[this.telephone：021-63191777  ],[this.averageCost：136],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:00 CST 2013],[this.tags：[鳕鱼酥, 粤式牛仔粒, 醉膏蟹, 蟹斗, 西米露]],[this.teses：null]
[this.name:金辰大酒店],[this.address：淮海中路795-809号(近瑞金一路)],[this.telephone：021-64717000  ],[this.averageCost：148],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:37:58 CST 2013],[this.tags：[自制核桃冰糕, 汤面]],[this.teses：null]
[this.name:美味小厨],[this.address：定西路728号],[this.telephone：021-32201861   13651933699],[this.averageCost：],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:18 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:七重天老上海餐厅],[this.address：黄浦区南京东路627号七重天宾馆内(近浙江中路)],[this.telephone：021-63220777-777  ],[this.averageCost：],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:14 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:圆苑酒家静安寺店],[this.address：静安区愚园路1号宏安瑞士酒店2楼(近常德路)],[this.telephone：021-62889477  ],[this.averageCost：156],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:11 CST 2013],[this.tags：[金牌煮干丝, 鹅肝酱牛肉粒, 红枣糯米]],[this.teses：null]
[this.name:珠江大酒店],[this.address：乍浦路346号4楼（近海宁路）],[this.telephone：021-63252846  ],[this.averageCost：59],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：100%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:11 CST 2013],[this.tags：[常州百叶, 特色肉圆]],[this.teses：null]
[this.name:敦煌小亭曹家渡店],[this.address：静安区万航渡路889号b1-105室(长寿路口)],[this.telephone：021-32527838  ],[this.averageCost：28],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:15 CST 2013],[this.tags：[清炒鸡毛菜, 酿皮, 羊肉串, 酸菜鱼]],[this.teses：null]
[this.name:梅园村酒家静安店],[this.address：静安区延安中路号841号东方海外大厦1-3层(近陕西南路)],[this.telephone：021-62477979  ],[this.averageCost：85],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：98%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:18 CST 2013],[this.tags：[清蒸多宝鱼, 蛋黄蟹, 清炒虾仁, 煲汤]],[this.teses：null]
[this.name:圆苑酒家宛平南路店],[this.address：上海市徐汇区宛平南路550号],[this.telephone：021-64381015  ],[this.averageCost：],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:15 CST 2013],[this.tags：[]],[this.teses：null]
[this.name:老丰阁远洋店],[this.address：虹口区东大名路1171号远洋宾馆2楼],[this.telephone：021-65861717  ],[this.averageCost：84],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：66%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:11 CST 2013],[this.tags：[粤式牛仔粒, 鲍鱼烧卖皇, 白汤凤爪]],[this.teses：null]
[this.name:老丰阁品珍轩阳曲店],[this.address：闸北区阳曲路462号],[this.telephone：021-66975688  ],[this.averageCost：89],[this.openTime：null],[this.closeTime：null],[this.description：null],[this.fuwu：0],[this.huanjing：0],[this.kouwei：0],[this.xingjiabi：0],[this.grade：85%],[this.markedCount：0],[this.nickName：null],[this.cateType：null],[this.enable：false],[this.joinedDate：Sat Jul 20 23:38:09 CST 2013],[this.tags：[茶树菇牛柳, 炒面, 红烧肉, 毛血旺, 掌中宝]],[this.teses：null]
