citycode:029|poiid:B001D0WGC5|name:稻香村餐厅|address:未央路112号经贸宾馆2层|location:108.946191,34.307923|tel:029-82126100|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D08SZN|name:巴之缘火锅(未央路)|address:未央大道112号|location:108.946801,34.30762|tel:029-86266996|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D12F03|name:董记家常菜馆|address:西安市未央区|location:108.94654,34.307028|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D08ZWA|name:魏家凉皮(未央路)|address:北二环|location:108.946543,34.307026|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D09JG6|name:百姓厨房(未央路)|address:未央路111-1号(未央路与北二环十字路口东南角)|location:108.94815,34.30884|tel:029-86275865;029-86276599|type:餐饮服务;中餐厅;综合酒楼
citycode:029|poiid:B001D121VQ|name:阿瓦山寨(未央路店)|address:未央路方新村|location:108.947511,34.305903|tel:|type:餐饮服务;中餐厅;湖南菜(湘菜)|餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0YMZG|name:肖家村口烤羊肉|address:肖家村村口|location:108.94401,34.305817|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D15LXG|name:周老大|address:未央路与玄武路十字向东100米路北地铁大明宫西站C|location:108.947945,34.305048|tel:029-81627029;029-81627290|type:餐饮服务;中餐厅;西北菜
citycode:029|poiid:B001D0WNVJ|name:惠客小吃城|address:玄武路1号尚品雅苑负一层(老宅门)|location:108.94841,34.305133|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0W04T|name:老宅门面庄|address:玄武路西口商品雅苑1楼E区|location:108.948641,34.305153|tel:029-86720005|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D11FF0|name:鸭王府香辣干锅|address:玄武路5号|location:108.950123,34.306333|tel:029-86351733|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B0FFF3BAF5|name:北二环臻品澳门豆捞|address:未央路和玄武路交汇处(公交六公司南侧)|location:108.94882,34.305066|tel:029-86362118|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D153QS|name:祥楚源真味餐厅|address:陕西省西安市玄武路西安未央汇仁医院西侧|location:108.94875,34.304826|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0X1TH|name:粮全其美手抓饼(玄武路店)|address:玄武路1号西口惠客小吃城内(近公交六公司)|location:108.949431,34.30521|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D15456|name:德克士城北客运站餐厅|address:二环北路西段|location:108.941111,34.310278|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:029|poiid:B001D0WD0W|name:德克士|address:北二环|location:108.94135,34.310696|tel:029-62006555|type:餐饮服务;快餐厅;快餐厅
citycode:029|poiid:B001D11WF0|name:聚香园湘菜馆|address:北关新村1排8号东侧|location:108.94977,34.304794|tel:13891891918|type:餐饮服务;中餐厅;湖南菜(湘菜)
citycode:029|poiid:B001D12K1I|name:迷你小餐厅|address:玄武路中段|location:108.94999,34.304877|tel:18629632916|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WD7S|name:魏家凉皮|address:未央路106号|location:108.941056,34.310681|tel:029-89299707|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WM2P|name:盛运涮烤(玄武路店)|address:大明宫遗址区玄武路1号公交六公司南门口隔壁|location:108.95063,34.305255|tel:029-86127287;029-84031007|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D0VXEV|name:高山流水商务酒楼|address:凤城一路8号御道华城2层|location:108.946395,34.313334|tel:029-86570555|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0VY8Y|name:雷公岐山面|address:凤城一路12号东侧|location:108.945408,34.313619|tel:029-86519889;18629268556|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D08VHU|name:馨雨食苑|address:凤城一路12号东侧|location:108.945181,34.313639|tel:029-86528881|type:餐饮服务;中餐厅;湖南菜(湘菜)
citycode:029|poiid:B001D09CSR|name:真爱中国餐馆(御道华城店)|address:凤城一路8号御道华城3层|location:108.946493,34.313699|tel:029-86515678;029-86511234;029-88401234|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WKFZ|name:小竹签烤肉|address:凤城一路文景家园东侧35米路南|location:108.94458,34.313623|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D0WM4L|name:双流老妈兔头|address:凤城一路西段12号中城大厦2层(近未央路)|location:108.944335,34.313622|tel:029-63336609;029-86515605|type:餐饮服务;中餐厅;综合酒楼
citycode:029|poiid:B001D11VQA|name:文昌豪生炖品酒楼(利君V时代店)|address:未央路与凤城一路交叉口东南利君V时代|location:108.94718,34.31375|tel:4001808887;029-86110000|type:餐饮服务;中餐厅;广东菜(粤菜)
citycode:029|poiid:B001D0VXPL|name:杨翔豆皮涮牛肚(旗舰店)|address:凤城一路雅荷花园A座三层(光大银行东侧)|location:108.947683,34.314017|tel:029-88110166|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0ZOXN|name:敦煌食府|address:凤城南路中段(方新村北)|location:108.943953,34.302426|tel:029-81932258;029-86270992;029-86280981|type:餐饮服务;中餐厅;综合酒楼|餐饮服务;中餐厅;综合酒楼
citycode:029|poiid:B001D0VYVT|name:陕北人家(凤城一路)|address:凤城一路7号|location:108.943832,34.31401|tel:029-86139066;029-86139666;13700291623;18829578520|type:餐饮服务;中餐厅;西北菜
citycode:029|poiid:B001D121UT|name:阿刚牛羊肉泡馍|address:金堆城小区37栋5号|location:108.949854,34.313536|tel:029-85638215|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D0VXYU|name:齐月岐山面馆(凤城一路分店)|address:凤城一路东段9号(利君花园对面)|location:108.948566,34.314056|tel:029-86258807;029-86529788;029-88536383|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:029|poiid:B001D0WKXH|name:凤壹9号私家小厨|address:凤城一路11号东侧|location:108.942984,34.314018|tel:029-86511918|type:餐饮服务;休闲餐饮场所;休闲餐饮场所
citycode:029|poiid:B001D09JGF|name:盛雅食府|address:玄武路128号|location:108.953466,34.306806|tel:13402964573|type:餐饮服务;中餐厅;湖南菜(湘菜)
citycode:029|poiid:B0FFF36VAR|name:纳豪红酒会所|address:凤城一路雅荷花园C06栋1单元402室(近利君大厦、中环大厦、市图书馆、赛高国际)|location:108.94763,34.31441|tel:029-88823699;18149072335|type:餐饮服务;休闲餐饮场所;休闲餐饮场所
citycode:029|poiid:B001D0WHIB|name:巴士中式快餐|address:凤城一路11号东侧|location:108.942769,34.31398|tel:029-86221888|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0W8YF|name:苏福记(凤城南路店)|address:凤城南路中段28号|location:108.942923,34.302416|tel:4007339993;029-86281116;029-86271119|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:029|poiid:B001D0W0D9|name:福建海鲜酒楼|address:大明宫玄武路北支线开元路1号风都华庭|location:108.953385,34.306213|tel:029-86231188;029-86300609|type:餐饮服务;中餐厅;海鲜酒楼
citycode:029|poiid:B001D11DCO|name:长沙米粉|address:凤城一路东段14号(省公安厅)|location:108.949968,34.313906|tel:15191898719|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D06D5L|name:德克士(凤城路餐厅)|address:迎宾大道雅荷花园C座|location:108.947871,34.314615|tel:029-86519044;029-86519074|type:餐饮服务;快餐厅;快餐厅
citycode:029|poiid:B001D0YOJI|name:清雅水盆羊肉|address:纬二十九街西口路北一巷子内|location:108.9411,34.30302|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D0Z6DP|name:德美食复合餐厅|address:城北轻工市场2楼精品街北口|location:108.938995,34.311447|tel:029-82107558|type:餐饮服务;快餐厅;快餐厅
citycode:029|poiid:B001D12OB0|name:湘蜀情|address:西安市未央区|location:108.94998,34.302448|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WR5G|name:真味饺子馆|address:总工会北侧50米|location:108.940983,34.303046|tel:029-68690099|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D069AI|name:澳门德兴海鲜火锅(未央路)|address:未央路122号|location:108.946937,34.314903|tel:029-86536666|type:餐饮服务;中餐厅;火锅店
citycode:029|poiid:B001D11WF1|name:全诚信|address:凤城南路北关新村附近|location:108.94989,34.3023|tel:13572426470|type:餐饮服务;中餐厅;中餐厅
citycode:029|poiid:B001D0WJAW|name:德发长|address:未央路122号|location:108.946946,34.314987|tel:029-86178311|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:029|poiid:B001D11YX4|name:西岐家宴|address:凤城一路雅荷花园A-28栋|location:108.95055,34.31391|tel:18509245031;029-81318504;18191329062|type:餐饮服务;中餐厅;西北菜
citycode:029|poiid:B001D0YYG4|name:荣诚家宴|address:凤城一路雅荷花园A30栋2单元(近公交六公司)|location:108.95055,34.31391|tel:029-86112611|type:餐饮服务;中餐厅;西北菜
