citycode:0512|poiid:B020019KNF|name:好食膳(狮山路店)|address:狮山路58号|location:120.566988,31.294296|tel:0512-68078107|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02000IOJT|name:必胜客(汇豪店)|address:狮山路58号汇豪国际1层|location:120.567356,31.29449|tel:0512-68032061|type:餐饮服务;快餐厅;必胜客
citycode:0512|poiid:B020007CNH|name:水天堂西餐咖啡厅(新区店)|address:滨河路|location:120.567522,31.294954|tel:0512-68780078;0512-68780068|type:餐饮服务;外国餐厅;西餐厅(综合风味)
citycode:0512|poiid:B02000JL36|name:美好家宴台湾料理|address:狮山路58号|location:120.567551,31.294865|tel:0512-68259512|type:餐饮服务;中餐厅;台湾菜
citycode:0512|poiid:B020019KHL|name:德天肥牛海鲜火锅|address:高新区狮山路76号华福大厦(新区汇豪酒店)|location:120.566282,31.294268|tel:0512-68077877|type:餐饮服务;中餐厅;火锅店
citycode:0512|poiid:B0FFF35N2F|name:苏州不差钱投资管理有限公司|address:狮山路76号华福大厦1201室|location:120.566089,31.294403|tel:0512-68234887;0512-68787111|type:公司企业;公司;公司|餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001DAE0|name:琼琳阁面庄(狮山路店)|address:高新区狮山路58号汇豪国际大厦1幢2单元110号(滨河路视狮山路)|location:120.567245,31.294008|tel:13915590420|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B0FFF2D3BV|name:椰之韵时尚火锅|address:高新区高新区狮山路58号(滨河路与狮山路交界,必胜客边)|location:120.56763,31.294071|tel:0512-65501965|type:餐饮服务;中餐厅;火锅店
citycode:0512|poiid:B02001D6W0|name:翔贺松谷铁板烧(新区店)|address:狮山路88号|location:120.56549,31.29464|tel:0512-68185582;0512-68187659|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0512|poiid:B0FFF01YMT|name:近水台面馆|address:狮山路12号金狮大厦|location:120.568378,31.294812|tel:0512-68257280|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0512|poiid:B020017Z0O|name:世豪轩全套间酒店餐厅|address:狮山路88号世豪轩全套间酒店|location:120.5651,31.294236|tel:0512-68056789|type:餐饮服务;中餐厅;广东菜(粤菜)
citycode:0512|poiid:B020019LFQ|name:悠格|address:金狮大厦1楼|location:120.56873,31.29522|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0512|poiid:B020019YQB|name:七欣天品蟹轩|address:苏州高新区狮山路38号金狮大厦2楼(滨河路口)|location:120.568928,31.294561|tel:0512-68081777|type:餐饮服务;中餐厅;海鲜酒楼
citycode:0512|poiid:B0200179VI|name:赛百味(金狮大厦)|address:新区滨河路1156号金狮大厦1F东侧(近高新广场)|location:120.568956,31.295101|tel:0512-68787510|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B020019NXQ|name:东吴面馆|address:滨河路金狮大厦1层|location:120.569185,31.295073|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001A08F|name:农乐园(狮山路店)|address:苏州高新区狮山路35号金河国际大厦202室(近滨河路)|location:120.56898,31.293661|tel:0512-62928211|type:餐饮服务;外国餐厅;韩国料理
citycode:0512|poiid:B02000IUMI|name:西堤牛排(狮山店)|address:高新区狮山路国际金河大厦1楼(国际金河大厦)|location:120.568868,31.293495|tel:0512-68781917;0512-68781971;0512-68781972|type:餐饮服务;外国餐厅;西餐厅(综合风味)
citycode:0512|poiid:B02000IVOS|name:江南首席(狮山路店)|address:狮山路35号金河国际大厦40-41层|location:120.568894,31.293512|tel:0512-68080000|type:餐饮服务;中餐厅;广东菜(粤菜)|公司企业;公司;公司
citycode:0512|poiid:B020017XKS|name:金色三麦|address:狮山路35号金河国际大厦4层|location:120.568887,31.293503|tel:0512-66655909|type:餐饮服务;外国餐厅;西餐厅(综合风味)
citycode:0512|poiid:B02000JQ5X|name:韩国五大洋料理(锦华商业中心)|address:狮山路100号F2层|location:120.564153,31.295021|tel:0512-68057773|type:餐饮服务;外国餐厅;韩国料理
citycode:0512|poiid:B02000IUD4|name:蓝枪鱼西餐厅(锦华商业中心)|address:狮山路100号F2层|location:120.564133,31.294754|tel:0512-68087316|type:餐饮服务;外国餐厅;外国餐厅
citycode:0512|poiid:B020017ZL3|name:翔日本料理(锦华商业中心)|address:狮山路100号F1层|location:120.564112,31.29473|tel:0512-68788777|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B0FFF36S7A|name:花溪王|address:狮山路28号高新广场B1楼|location:120.569508,31.295402|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0512|poiid:B020017YKI|name:豆捞坊(金河国际大厦)|address:狮山路35号金河国际大厦2楼(近西提牛排)|location:120.569175,31.293598|tel:0512-68075677;0512-68081777|type:餐饮服务;中餐厅;火锅店
citycode:0512|poiid:B02001G35L|name:澳门豆捞(新区店)|address:高新区狮山路35号金河国际大厦正门进入电梯至2楼|location:120.569018,31.29317|tel:0512-68075677|type:餐饮服务;中餐厅;火锅店
citycode:0512|poiid:B020016GCF|name:香樟花园时尚厨房(狮山路店)|address:狮山路35号|location:120.568944,31.293021|tel:0512-68325877|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001762C|name:花月铁板烧|address:高新区狮山路100号锦华商业中心2层|location:120.564057,31.293844|tel:0512-68054200|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001796G|name:天一渔港(新区店)|address:狮山路35号金河国际大厦3层|location:120.569596,31.293604|tel:0512-68089158;0512-68093777;0512-68099777|type:餐饮服务;中餐厅;海鲜酒楼
citycode:0512|poiid:B020017JP6|name:神座铁板烧|address:高新区狮山路98号(锦华苑商业中心2FL1-05号)|location:120.56362,31.293818|tel:0512-68085233|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02000K2JE|name:老妈米线(蜀香汇)|address:狮山路98号|location:120.563565,31.293796|tel:|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0512|poiid:B02000K0BF|name:福建沙县特色小吃(金河国际大厦东南)|address:金河国际华庭附近|location:120.569638,31.293069|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B02001IIKY|name:寰润食坊|address:狮山路22号高新广场B1(人才市场旁)|location:120.57049,31.294815|tel:0512-86860750|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B0FFF0EIV5|name:汇肴外卖|address:狮山路|location:120.570445,31.29389|tel:0512-66327273|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B02001DE45|name:府城鲁肉饭|address:狮山路35号金河国际大厦(滨河路口)|location:120.56927,31.292355|tel:0512-68325877|type:餐饮服务;快餐厅;快餐厅
citycode:0512|poiid:B020019VBA|name:年年有余中餐馆|address:高新区滨河路1388号X2创意街6号|location:120.56708,31.298405|tel:0512-69581718|type:餐饮服务;中餐厅;江苏菜
citycode:0512|poiid:B020006CP7|name:洋洋中餐馆|address:狮山路111号|location:120.562774,31.293238|tel:0512-68413330;0512-68256333|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B0200163WZ|name:巴菲特西餐厅|address:狮山路111号狮山丽舍1层|location:120.562695,31.293246|tel:0512-68089777|type:餐饮服务;外国餐厅;西餐厅(综合风味)
citycode:0512|poiid:B02000IUFW|name:巴蜀传香|address:运河路45号方圆大厦1-2层(近新区管委会)|location:120.57128,31.295641|tel:0512-68785978;0512-68785778|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B02001II3D|name:余味鱼庄|address:滨河路1388号|location:120.567002,31.298744|tel:|type:餐饮服务;中餐厅;海鲜酒楼
citycode:0512|poiid:B02000KBYD|name:魔幻厨房|address:苏州高新区滨河路1388号X2创意街区(金山路口)|location:120.56716,31.298788|tel:0512-68021778|type:餐饮服务;中餐厅;江苏菜
citycode:0512|poiid:B02001A1QT|name:阳光超市|address:高新区金山路狮山新苑47幢A-2号(塔园路口圣爱医院旁)|location:120.56285,31.29689|tel:0512-66131366|type:餐饮服务;中餐厅;中餐厅
citycode:0512|poiid:B020017GVD|name:春夏秋冬居食屋|address:高新区滨河路1388号X2创意街区(金山路口)|location:120.567382,31.298899|tel:|type:餐饮服务;外国餐厅;日本料理
citycode:0512|poiid:B02001A1KI|name:旺庄沙土玉米(新区店)|address:滨河路205号金龙大厦1层(宽心园健康生活馆内)|location:120.568793,31.291039|tel:0512-68317383|type:餐饮服务;中餐厅;中餐厅
