citycode:0591|poiid:B024F0VANL|name:家家香|address:八一七北路187安泰中心145号(近织锦巷)|location:119.30044,26.08242|tel:|type:餐饮服务;中餐厅;福建菜
citycode:0591|poiid:B024F05U9P|name:明记炖品世家(安泰店)|address:八一七北路187号安泰中心A区1楼4-5号(近织锦巷)|location:119.300642,26.082268|tel:0591-83857977;18650052706;0591-87671977|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F035ZN|name:明记港式茶餐厅(织缎巷)|address:八一七路155号|location:119.300701,26.082271|tel:0591-87608105|type:餐饮服务;快餐厅;茶餐厅
citycode:0591|poiid:B0FFF2ROIN|name:味中味(南街店)|address:八一七路155号(东街大洋百货旁)|location:119.300011,26.083473|tel:0591-88315397|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VAT8|name:地瓜坊(安泰中心店)|address:八一七北路187号安泰中心A6通道2号铺(近织锦巷)|location:119.30049,26.08142|tel:0591-88239977;0591-88171771|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VFYM|name:正一碗|address:八一七北路|location:119.300851,26.082308|tel:0591-87622270|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0V5EN|name:猪吉面缘(安泰中心店)|address:八一七北路187号安泰中心B区第三通道(近安泰新华图书城)|location:119.300513,26.081408|tel:0591-88823598;0591-83818881|type:餐饮服务;外国餐厅;日本料理
citycode:0591|poiid:B024F0U7K7|name:必胜客(吉庇路)|address:八一七北路68号|location:119.300259,26.081126|tel:0591-83575816|type:餐饮服务;快餐厅;必胜客
citycode:0591|poiid:B024F0VHOX|name:闽川菜|address:八一七北路205号(近东街口)|location:119.299602,26.083714|tel:0591-87608292|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0YAIU|name:麻辣烫|address:八一七北路187附近|location:119.3009,26.082524|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0Z039|name:满汤红(安泰店)|address:织缎巷安泰中心织段巷37号(一号便利店对面)|location:119.30062,26.081411|tel:0591-28360018;15005011725|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:0591|poiid:B0FFF2LXXW|name:森巴度时尚餐厅|address:津泰路195号安泰中心(新华书店旁)|location:119.300741,26.081517|tel:0591-87618912|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VREZ|name:炖品世家(大洋百货店)|address:八一七北路133号大洋百货B1楼(近南街)|location:119.30005,26.08382|tel:0591-88883627|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0YH1A|name:森8度时尚餐厅|address:八一七北路187号安泰中心11座2楼(近织锦巷)|location:119.30102,26.081615|tel:0591-87618912|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VCAH|name:高个子杂卤粉干|address:八一七北路187号安泰中心|location:119.30102,26.081615|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VBPW|name:重庆牛牛酸辣粉店|address:八一七北路187号安泰中心心B区六通道38C店面(近织锦巷)|location:119.30102,26.081615|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0UIZ0|name:酒牛二壶给力餐厅|address:吉庇路39号|location:119.299555,26.080605|tel:0591-88502884|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0XXU3|name:疯味派甜筒比萨(安泰店)|address:八一七北路南营织缎巷39号(安泰夜市旁)|location:119.30114,26.082636|tel:13559186565|type:餐饮服务;外国餐厅;意式菜品餐厅
citycode:0591|poiid:B024F0UJ0M|name:食鼎记(吉庇路)|address:南后街吉庇路61号(安泰楼酒家隔壁)|location:119.299463,26.080576|tel:0591-87660377;0591-87551577|type:餐饮服务;中餐厅;特色/地方风味餐厅|餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0591|poiid:B0FFF2W9FJ|name:高记石井捞化no.002|address:八一七北路105号|location:119.30026,26.083779|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0VQ5A|name:欧济名吃东街老店|address:八一七北路(大洋百货旁)|location:119.30034,26.08377|tel:15959022575|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0081D|name:安泰楼酒家(吉庇路)|address:吉庇路39号安泰黄金广场|location:119.30032,26.080777|tel:0591-87543557;0591-87521051;4000591513;0591-87550890|type:餐饮服务;中餐厅;综合酒楼
citycode:0591|poiid:B0FFF2UHVR|name:正宗川味麻辣烫西洋路no.3|address:织缎巷40附近|location:119.30129,26.082327|tel:|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0UJR8|name:巧口寿司爱8寸pizza|address:吉庇路39号综合楼1楼15号店面|location:119.300575,26.080866|tel:0591-87891957|type:餐饮服务;外国餐厅;意式菜品餐厅
citycode:0591|poiid:B024F0VFYL|name:琪辉餐厅|address:八一七北路(大洋百货旁)|location:119.300477,26.083874|tel:0591-83218280;0591-87501323|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0X4C7|name:金津老鸭粉丝馆|address:石井巷74号|location:119.297839,26.0837|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VQHD|name:好多佳豆花|address:八一七北路268号冠亚美食街1号楼3号店(近乌山路)|location:119.29722,26.08173|tel:13960989798|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0U27D|name:肯德基(安泰店)|address:津泰路7|location:119.300921,26.081006|tel:0591-83675266;0591-83620255;0591-83672766;4008823823|type:餐饮服务;快餐厅;肯德基
citycode:0591|poiid:B024F0Z1A3|name:福记鼎边糊|address:南后街55|location:119.297152,26.081883|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05KJ3|name:鸭盆子|address:津泰路19号6楼|location:119.301015,26.081053|tel:0591-87660077|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0591|poiid:B024F0VQOA|name:聚烤庄(安泰店)|address:鼓楼区八一七北路190号|location:119.3005,26.08062|tel:0591-88339797|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:0591|poiid:B024F0XXEK|name:颐风酒肆|address:南后街47号|location:119.29719,26.081642|tel:0591-87885053;13123176737|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05TS1|name:花生汤|address:南后街51|location:119.297119,26.081825|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05TRZ|name:鼎边糊|address:南后街55|location:119.297081,26.081975|tel:|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F04ZQZ|name:圣杰士阳光餐厅(福州八一七餐厅)|address:八一七北路190号闽星楼1层|location:119.300467,26.080568|tel:0591-87671233|type:餐饮服务;外国餐厅;西餐厅(综合风味)
citycode:0591|poiid:B024F0U9EL|name:约客镇比萨餐厅(津泰路)|address:津泰路19号|location:119.301046,26.081|tel:0591-87877833;0591-88859777|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0XXQY|name:享家餐厅|address:织缎巷安泰中心B区2楼(近南营巷)|location:119.30157,26.082405|tel:13055777795|type:餐饮服务;中餐厅;湖南菜(湘菜)
citycode:0591|poiid:B024F0VP1J|name:四季·映山红|address:澳门路28号1-3楼|location:119.298004,26.08058|tel:0591-87775757;0591-87775858|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05TRW|name:印象台北|address:南后街65|location:119.296997,26.082346|tel:0591-87555561|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F0VCCM|name:马克杯面食吧|address:八一七北路187安泰中心B区22号店面(近织锦巷)|location:119.30163,26.08208|tel:0591-28117027|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0XT0Z|name:梅榕饭店|address:安泰中心|location:119.30165,26.08212|tel:0591-87550410|type:餐饮服务;快餐厅;快餐厅
citycode:0591|poiid:B024F0VC2B|name:善缘坊|address:南后街三坊七巷125-3号|location:119.297013,26.082938|tel:0591-88238111|type:餐饮服务;中餐厅;中餐厅
citycode:0591|poiid:B024F05KWV|name:坤泉风味小吃店|address:东街口塔巷25号|location:119.299023,26.084428|tel:0591-87552242|type:餐饮服务;中餐厅;特色/地方风味餐厅
