citycode:010|poiid:B000AA177W|name:媛媛面馆(迎宾北路店)|address:怀柔迎宾北路11号|location:116.63755,40.324257|tel:010-69695158|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7TP83|name:京都酒家|address:迎宾北路10号|location:116.638049,40.324682|tel:010-69627201;010-51596100|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A7PGJD|name:吉好饸子屋|address:怀柔镇|location:116.636335,40.325048|tel:010-60695333;010-69685333|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A8X8PM|name:阿泰包子|address:迎宾北路34号三中南面|location:116.63758,40.325445|tel:010-69650788|type:餐饮服务;中餐厅;中餐厅
citycode:010|poiid:B000A3B4C8|name:快乐餐厅(迎宾路)|address:迎宾北路5号|location:116.63728,40.322433|tel:010-69684819|type:餐饮服务;中餐厅;北京菜
citycode:010|poiid:B000AA1HJX|name:兰州牛肉拉面|address:北园东街60附近|location:116.635218,40.323113|tel:|type:餐饮服务;中餐厅;清真菜馆
citycode:010|poiid:B000A878WF|name:九九嘉烤鸭店(怀柔滨湖路店)|address:滨湖南路74号|location:116.633805,40.325014|tel:010-69698808;010-69428167|type:餐饮服务;中餐厅;特色/地方风味餐厅
citycode:010|poiid:B000A377E1|name:巴蜀酒家|address:迎宾北路1|location:116.63677,40.321356|tel:4007339993;010-69658868;010-69687784|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:010|poiid:B000AA1Y80|name:蜀香园|address:北园163号|location:116.633352,40.322909|tel:|type:餐饮服务;中餐厅;四川菜(川菜)
citycode:010|poiid:B000A8VU5C|name:克里木餐厅|address:北京近郊怀柔区滨湖南街16号|location:116.632909,40.325021|tel:|type:餐饮服务;中餐厅;清真菜馆
citycode:010|poiid:B000A7QKMC|name:田源鸡火锅(怀柔总店)|address:兴怀大街17号|location:116.634724,40.321349|tel:010-69632499|type:餐饮服务;中餐厅;火锅店
citycode:010|poiid:B000A7XI71|name:天天向上大酒楼|address:迎宾中路42号农机公司1、2层|location:116.637531,40.320787|tel:010-69624669|type:餐饮服务;中餐厅;中餐厅
